,incident_type,finding,action_taken
774,Citizen complaint,Not Sustained,No action
775,Citizen complaint,Unfounded,No action
776,Citizen complaint,Not Sustained,No action
777,Citizen complaint,Not Sustained,No action
779,Citizen complaint,Exonerated,No action
783,Citizen complaint,Sustained,Suspension
784,Citizen complaint,Sustained,Oral Reprimand
785,Citizen complaint,Not Sustained,No action
786,Citizen complaint,Exonerated,No action
787,Citizen complaint,Not Sustained,No action
788,Citizen complaint,Pending,No action
789,Citizen complaint,Exonerated,No action
790,Citizen complaint,Unfounded,No action
791,Citizen complaint,Exonerated,No action
792,Citizen complaint,Not Sustained,No action
793,Citizen complaint,Not Sustained,No action
794,Citizen complaint,Not Sustained,No action
796,Citizen complaint,Not Sustained,No action
797,Citizen complaint,Not Sustained,No action
799,Citizen complaint,Not Sustained,No action
801,Citizen complaint,Not Sustained,No action
802,Citizen complaint,Not Sustained,No action
803,Citizen complaint,Unfounded,No action
804,Citizen complaint,Not Sustained,No action
805,Citizen complaint,Not Sustained,No action
806,Citizen complaint,Not Sustained,No action
807,Citizen complaint,Not Sustained,No action
811,Citizen complaint,Unfounded,No action
812,Citizen complaint,Not Sustained,No action
816,Citizen complaint,Not Sustained,No action
817,Citizen complaint,Exonerated,No action
818,Citizen complaint,Unfounded,No action
819,Citizen complaint,Unfounded,No action
822,Citizen complaint,Not Sustained,No action
823,Citizen complaint,Exonerated,No action
824,Citizen complaint,Unfounded,No action
825,Citizen complaint,Exonerated,No action
826,Citizen complaint,Not Sustained,No action
827,Citizen complaint,Unfounded,No action
828,Citizen complaint,Not Sustained,No action
829,Citizen complaint,Unfounded,No action
830,Citizen complaint,Unfounded,No action
831,Citizen complaint,Exonerated,No action
832,Citizen complaint,Not Sustained,No action
834,Citizen complaint,Exonerated,No action
835,Citizen complaint,Unfounded,No action
836,Citizen complaint,Not Sustained,No action
837,Citizen complaint,Unfounded,No action
838,Citizen complaint,Exonerated,No action
839,Citizen complaint,Unfounded,No action
840,Citizen complaint,Sustained,Oral Reprimand
841,Citizen complaint,Unfounded,No action
