,incident_type,finding,action_taken
613,Internal investigation,Sustained,Oral Reprimand
615,Internal investigation,Sustained,Oral Reprimand
616,Internal investigation,Sustained,Oral Reprimand
617,Internal investigation,Not Sustained,No action
618,Internal investigation,Sustained,No action
619,Internal investigation,Sustained,No action
620,Internal investigation,Not Sustained,No action
630,Internal investigation,Sustained,No action
635,Internal investigation,Sustained,No action
645,Internal investigation,Sustained,Suspension
658,Internal investigation,Unfounded,No action
659,Internal investigation,Unfounded,No action
662,Internal investigation,Unfounded,No action
681,Internal investigation,Sustained,Suspension
692,Internal investigation,Sustained,No action
693,Internal investigation,Exonerated,No action
703,Internal investigation,Exonerated,No action
705,Internal investigation,Exonerated,No action
706,Internal investigation,Exonerated,No action
707,Internal investigation,Exonerated,No action
708,Internal investigation,Exonerated,No action
714,Internal investigation,Sustained,Retired
721,Internal investigation,Sustained,Oral Reprimand
725,Internal investigation,Sustained,Oral Reprimand
726,Internal investigation,Sustained,Oral Reprimand
727,Internal investigation,Sustained,Oral Reprimand
728,Internal investigation,Unfounded,No action
731,Internal investigation,Sustained,Oral Reprimand
734,Internal investigation,Sustained,No action
746,Internal investigation,Unfounded,No action
747,Internal investigation,Not Sustained,No action
748,Internal investigation,Sustained,No action
749,Internal investigation,Unfounded,No action
753,Internal investigation,Unfounded,No action
754,Internal investigation,Not Sustained,No action
755,Internal investigation,Sustained,No action
756,Internal investigation,Unfounded,No action
762,Internal investigation,Sustained,Oral Reprimand
763,Internal investigation,Sustained,Oral Reprimand
778,Internal investigation,Sustained,Oral Reprimand
780,Internal investigation,Sustained,No action
781,Internal investigation,Sustained,No action
782,Internal investigation,Sustained,No action
795,Internal investigation,Sustained,No action
798,Internal investigation,Sustained,No action
800,Internal investigation,Sustained,Oral Reprimand
808,Internal investigation,Not Sustained,No action
809,Internal investigation,Not Sustained,No action
810,Internal investigation,Sustained,No action
813,Internal investigation,Sustained,No action
814,Internal investigation,Sustained,No action
815,Internal investigation,Sustained,No action
820,Internal investigation,Sustained,Settlement Agreement
821,Internal investigation,Sustained,No action
833,Internal investigation,Sustained,Oral Reprimand
844,Internal investigation,Sustained,No action
845,Internal investigation,Sustained,No action
849,Internal investigation,Sustained,No action
851,Internal investigation,Not Sustained,No action
856,Internal investigation,Sustained,Suspension
875,Internal investigation,Sustained,Suspension
876,Internal investigation,Sustained,No action
877,Internal investigation,Sustained,No action
878,Internal investigation,Sustained,Oral Reprimand
879,Internal investigation,Unfounded,No action
880,Internal investigation,Not Sustained,No action
881,Internal investigation,Not Sustained,No action
882,Internal investigation,Sustained,No action
883,Internal investigation,Sustained,No action
886,Internal investigation,Sustained,Oral Reprimand
891,Internal investigation,Not Sustained,No action
908,Internal investigation,Not Sustained,No action
909,Internal investigation,Not Sustained,No action
910,Internal investigation,Not Sustained,No action
912,Internal investigation,Not Sustained,No action
913,Internal investigation,Sustained,No action
914,Internal investigation,Sustained,No action
915,Internal investigation,Sustained,No action
916,Internal investigation,Sustained,Written Reprimand
917,Internal investigation,Sustained,No action
928,Internal investigation,Sustained,No action
929,Internal investigation,Sustained,No action
931,Internal investigation,Exonerated,No action
932,Internal investigation,Sustained,Suspension
935,Internal investigation,Sustained,No action
942,Internal investigation,Sustained,Suspension
952,Internal investigation,Not Sustained,No action
963,Internal investigation,Sustained,Suspension
964,Internal investigation,Sustained,No action
970,Internal investigation,Sustained,Oral Reprimand
977,Internal investigation,Sustained,No action
978,Internal investigation,Sustained,No action
985,Internal investigation,Sustained,Termination
988,Internal investigation,Sustained,Suspension
992,Internal investigation,Not Sustained,No action
993,Internal investigation,Not Sustained,No action
994,Internal investigation,Not Sustained,No action
999,Internal investigation,Not Sustained,No action
1000,Internal investigation,Sustained,No action
1008,Internal investigation,Sustained,Settlement Agreement
1009,Internal investigation,Sustained,Termination
1010,Internal investigation,Sustained,No action
1011,Internal investigation,Sustained,No action
1020,Internal investigation,Sustained,No action
1021,Internal investigation,Sustained,No action
1027,Internal investigation,Sustained,No action
1028,Internal investigation,Sustained,No action
1029,Internal investigation,Sustained,No action
1036,Internal investigation,Sustained,Oral Reprimand
1037,Internal investigation,Not Sustained,No action
1038,Internal investigation,Sustained,No action
1039,Internal investigation,Unfounded,No action
1042,Internal investigation,Sustained,Oral Reprimand
1045,Internal investigation,Sustained,No action
1047,Internal investigation,Unfounded,No action
1050,Internal investigation,Sustained,Oral Reprimand
1051,Internal investigation,Sustained,Suspension
1052,Internal investigation,Sustained,No action
1053,Internal investigation,Sustained,No action
1054,Internal investigation,Sustained,No action
1055,Internal investigation,Sustained,No action
1056,Internal investigation,Sustained,No action
1057,Internal investigation,Sustained,No action
1058,Internal investigation,Sustained,No action
1059,Internal investigation,Sustained,No action
1061,Internal investigation,Sustained,No action
1063,Internal investigation,Sustained,No action
1065,Internal investigation,Sustained,No action
1066,Internal investigation,Sustained,No action
1067,Internal investigation,Sustained,No action
1068,Internal investigation,Sustained,No action
1069,Internal investigation,Sustained,No action
1070,Internal investigation,Sustained,No action
1071,Internal investigation,Sustained,No action
1072,Internal investigation,Sustained,No action
1075,Internal investigation,Sustained,No action
1076,Internal investigation,Sustained,No action
1077,Internal investigation,Sustained,No action
1078,Internal investigation,Sustained,No action
1079,Internal investigation,Sustained,No action
1080,Internal investigation,Sustained,No action
1081,Internal investigation,Sustained,No action
1084,Internal investigation,Not Sustained,No action
1103,Internal investigation,Sustained,Resigned/Retired and Charges Pending
1105,Internal investigation,Sustained,Termination
1106,Internal investigation,Sustained,No action
1107,Internal investigation,Sustained,No action
1108,Internal investigation,Unfounded,No action
1109,Internal investigation,Sustained,No action
1114,Internal investigation,Sustained,Oral Reprimand
1123,Internal investigation,Sustained,No action
1124,Internal investigation,Sustained,No action
1125,Internal investigation,Sustained,No action
1126,Internal investigation,Sustained,No action
1127,Internal investigation,Sustained,No action
1130,Internal investigation,Sustained,Oral Reprimand
1131,Internal investigation,Sustained,No action
1132,Internal investigation,Sustained,Retired
1137,Internal investigation,Sustained,No action
1140,Internal investigation,Sustained,No action
1141,Internal investigation,Sustained,No action
1142,Internal investigation,Sustained,No action
1143,Internal investigation,Not Sustained,No action
1144,Internal investigation,Not Sustained,No action
1145,Internal investigation,Sustained,No action
1146,Internal investigation,Not Sustained,No action
1152,Internal investigation,Sustained,No action
1153,Internal investigation,Exonerated,No action
1154,Internal investigation,Not Sustained,No action
1155,Internal investigation,Not Sustained,No action
1156,Internal investigation,Sustained,Oral Reprimand
1168,Internal investigation,Not Sustained,Oral Reprimand
1169,Internal investigation,Not Sustained,No action
1170,Internal investigation,Sustained,No action
1171,Internal investigation,Sustained,No action
1173,Internal investigation,Not Sustained,No action
1175,Internal investigation,Unfounded,No action
1176,Internal investigation,Not Sustained,No action
1178,Internal investigation,Sustained,Suspension
1179,Internal investigation,Sustained,No action
1180,Internal investigation,Sustained,Suspension
1185,Internal investigation,Sustained,Oral Reprimand
1186,Internal investigation,Not Sustained,No action
1187,Internal investigation,Not Sustained,No action
1189,Internal investigation,Sustained,Oral Reprimand
1192,Internal investigation,Sustained,No action
1193,Internal investigation,Sustained,No action
1194,Internal investigation,Sustained,No action
1195,Internal investigation,Sustained,No action
1196,Internal investigation,Sustained,No action
1198,Internal investigation,Sustained,Oral Reprimand
1202,Internal investigation,Not Sustained,No action
1203,Internal investigation,Sustained,No action
1204,Internal investigation,Sustained,No action
1205,Internal investigation,Sustained,No action
1207,Internal investigation,Sustained,No action
1217,Internal investigation,Not Sustained,No action
1218,Internal investigation,Not Sustained,No action
1219,Internal investigation,Not Sustained,No action
1220,Internal investigation,Unfounded,No action
1229,Internal investigation,Sustained,Oral Reprimand
1230,Internal investigation,Sustained,No action
1231,Internal investigation,Sustained,No action
1242,Internal investigation,Sustained,Oral Reprimand
1243,Internal investigation,Sustained,No action
1244,Internal investigation,Sustained,No action
1245,Internal investigation,Sustained,No action
1246,Internal investigation,Sustained,No action
1248,Internal investigation,Exonerated,Oral Reprimand
1249,Internal investigation,Sustained,No action
1250,Internal investigation,Sustained,Resigned/Retired and Charges Pending
1251,Internal investigation,Sustained,No action
1252,Internal investigation,Sustained,No action
1253,Internal investigation,Sustained,No action
1254,Internal investigation,Sustained,No action
1255,Internal investigation,Sustained,No action
1256,Internal investigation,Sustained,No action
1257,Internal investigation,Sustained,No action
1258,Internal investigation,Sustained,Oral Reprimand
1265,Internal investigation,Sustained,Oral Reprimand
1272,Internal investigation,Sustained,Oral Reprimand
1273,Internal investigation,Sustained,Oral Reprimand
1275,Internal investigation,Sustained,No action
1276,Internal investigation,Sustained,No action
1279,Internal investigation,Sustained,No action
1292,Internal investigation,Sustained,Oral Reprimand
1293,Internal investigation,Sustained,Oral Reprimand
1299,Internal investigation,Sustained,Oral Reprimand
1300,Internal investigation,Sustained,No action
1307,Internal investigation,Sustained,Suspension
1312,Internal investigation,Sustained,No action
1313,Internal investigation,Sustained,No action
1318,Internal investigation,Not Sustained,No action
1319,Internal investigation,Sustained,No action
1320,Internal investigation,Not Sustained,No action
1323,Internal investigation,Sustained,No action
1324,Internal investigation,Unfounded,No action
1325,Internal investigation,Not Sustained,No action
1326,Internal investigation,Not Sustained,No action
1327,Internal investigation,Sustained,No action
1328,Internal investigation,Unfounded,No action
1329,Internal investigation,Sustained,No action
1330,Internal investigation,Unfounded,No action
1331,Internal investigation,Sustained,No action
1332,Internal investigation,Unfounded,No action
1333,Internal investigation,Not Sustained,No action
1334,Internal investigation,Not Sustained,No action
1335,Internal investigation,Not Sustained,No action
1336,Internal investigation,Not Sustained,No action
1337,Internal investigation,Not Sustained,No action
1338,Internal investigation,Unfounded,No action
1339,Internal investigation,Unfounded,No action
1340,Internal investigation,Unfounded,No action
1341,Internal investigation,Not Sustained,No action
1342,Internal investigation,Sustained,No action
1343,Internal investigation,Unfounded,No action
1344,Internal investigation,Unfounded,No action
1345,Internal investigation,Not Sustained,No action
1346,Internal investigation,Sustained,No action
1347,Internal investigation,Unfounded,No action
1350,Internal investigation,Not Sustained,No action
1351,Internal investigation,Unfounded,No action
1352,Internal investigation,Not Sustained,No action
1353,Internal investigation,Not Sustained,No action
1354,Internal investigation,Not Sustained,No action
1355,Internal investigation,Unfounded,No action
1357,Internal investigation,Not Sustained,No action
1358,Internal investigation,Unfounded,No action
1359,Internal investigation,Sustained,No action
1360,Internal investigation,Unfounded,No action
1361,Internal investigation,Unfounded,No action
1362,Internal investigation,Not Sustained,No action
1363,Internal investigation,Unfounded,No action
1365,Internal investigation,Sustained,Oral Reprimand
1366,Internal investigation,Sustained,Resigned/Retired and Charges Pending
1367,Internal investigation,Sustained,No action
1368,Internal investigation,Sustained,No action
1369,Internal investigation,Sustained,No action
1370,Internal investigation,Sustained,No action
1371,Internal investigation,Sustained,Oral Reprimand
1372,Internal investigation,Sustained,Resigned/Retired and Charges Pending
1377,Internal investigation,Sustained,Suspension
1379,Internal investigation,Sustained,No action
1382,Internal investigation,Sustained,Settlement Agreement
1383,Internal investigation,Sustained,No action
1384,Internal investigation,Sustained,No action
1385,Internal investigation,Sustained,No action
1388,Internal investigation,Sustained,Suspension
1389,Internal investigation,Sustained,No action
1391,Internal investigation,Sustained,Resigned/Retired and Charges Pending
1393,Internal investigation,Sustained,No action
1394,Internal investigation,Sustained,No action
1395,Internal investigation,Sustained,No action
1396,Internal investigation,Sustained,Oral Reprimand
1398,Internal investigation,Sustained,No action
1399,Internal investigation,Exonerated,No action
1400,Internal investigation,Exonerated,No action
1401,Internal investigation,Sustained,Oral Reprimand
1402,Internal investigation,Sustained,Oral Reprimand
1409,Internal investigation,Sustained,Oral Reprimand
1410,Internal investigation,Sustained,No action
1420,Internal investigation,Sustained,No action
1421,Internal investigation,Sustained,No action
1422,Internal investigation,Sustained,No action
1423,Internal investigation,Sustained,No action
1426,Internal investigation,Sustained,No action
1427,Internal investigation,Sustained,No action
1428,Internal investigation,Sustained,No action
1429,Internal investigation,Sustained,No action
1431,Internal investigation,Sustained,No action
1432,Internal investigation,Sustained,No action
